2022-02-01 00:27:49.850 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-01 00:27:49.850 [main] INFO  com.linghang.wusthelper.wustyjs.WustYjsApplication - Starting WustYjsApplication using Java 1.8.0_271 on DESKTOP-JUI40V8 with PID 17852 (F:\JavaProjects\linghang\wusthelper\wustyjs_server\target\classes started by Leibuyun in F:\JavaProjects\linghang\wusthelper)
2022-02-01 00:27:49.854 [main] INFO  com.linghang.wusthelper.wustyjs.WustYjsApplication - The following profiles are active: dev
2022-02-01 00:27:50.904 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8333 (http)
2022-02-01 00:27:50.904 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2022-02-01 00:27:50.905 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2022-02-01 00:27:50.905 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2022-02-01 00:27:50.905 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-02-01 00:27:50.907 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2022-02-01 00:27:50.912 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8333"]
2022-02-01 00:27:50.913 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-02-01 00:27:50.913 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-02-01 00:27:50.980 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-02-01 00:27:50.981 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1085 ms
2022-02-01 00:27:51.853 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-02-01 00:27:52.000 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8333"]
2022-02-01 00:27:52.010 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8333 (http) with context path ''
2022-02-01 00:27:52.011 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-02-01 00:27:52.025 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-02-01 00:27:52.043 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-02-01 00:27:52.150 [main] INFO  com.linghang.wusthelper.wustyjs.WustYjsApplication - Started WustYjsApplication in 2.694 seconds (JVM running for 2.993)
2022-02-01 00:30:32.147 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-01 00:30:32.147 [main] INFO  com.linghang.wusthelper.wustyjs.WustYjsApplication - Starting WustYjsApplication using Java 1.8.0_271 on DESKTOP-JUI40V8 with PID 16636 (F:\JavaProjects\linghang\wusthelper\wustyjs_server\target\classes started by Leibuyun in F:\JavaProjects\linghang\wusthelper)
2022-02-01 00:30:32.148 [main] INFO  com.linghang.wusthelper.wustyjs.WustYjsApplication - The following profiles are active: dev
2022-02-01 00:30:33.175 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8333 (http)
2022-02-01 00:30:33.176 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2022-02-01 00:30:33.176 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2022-02-01 00:30:33.176 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2022-02-01 00:30:33.176 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-02-01 00:30:33.178 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2022-02-01 00:30:33.183 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8333"]
2022-02-01 00:30:33.184 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-02-01 00:30:33.184 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
