2022-02-07 00:16:01.090 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-07 00:16:01.091 [main] INFO  com.linghang.wusthelper.wustlib.WustLibApplication - Starting WustLibApplication using Java 1.8.0_271 on DESKTOP-JUI40V8 with PID 14272 (F:\JavaProjects\linghang\wusthelper\wustlib_server\target\classes started by Leibuyun in F:\JavaProjects\linghang\wusthelper)
2022-02-07 00:16:01.093 [main] INFO  com.linghang.wusthelper.wustlib.WustLibApplication - The following profiles are active: dev
2022-02-07 00:16:02.068 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8334 (http)
2022-02-07 00:16:02.068 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2022-02-07 00:16:02.069 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2022-02-07 00:16:02.069 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2022-02-07 00:16:02.069 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-02-07 00:16:02.071 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2022-02-07 00:16:02.078 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8334"]
2022-02-07 00:16:02.079 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-02-07 00:16:02.079 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-02-07 00:16:02.144 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wustlib] - Initializing Spring embedded WebApplicationContext
2022-02-07 00:16:02.144 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1000 ms
2022-02-07 00:16:03.324 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-02-07 00:16:03.493 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8334"]
2022-02-07 00:16:03.503 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8334 (http) with context path '/wustlib'
2022-02-07 00:16:03.504 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-02-07 00:16:03.519 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-02-07 00:16:03.538 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-02-07 00:16:03.637 [main] INFO  com.linghang.wusthelper.wustlib.WustLibApplication - Started WustLibApplication in 2.913 seconds (JVM running for 3.346)
2022-02-07 00:16:11.854 [http-nio-8334-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wustlib] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-02-07 00:16:11.854 [http-nio-8334-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-02-07 00:16:11.855 [http-nio-8334-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-02-07 00:16:11.985 [http-nio-8334-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-02-07 00:16:12.067 [http-nio-8334-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-02-07 00:25:05.287 [main] INFO  com.linghang.wusthelper.wustlib.WustLibApplication - Starting WustLibApplication using Java 1.8.0_271 on DESKTOP-JUI40V8 with PID 6028 (F:\JavaProjects\linghang\wusthelper\wustlib_server\target\classes started by Leibuyun in F:\JavaProjects\linghang\wusthelper)
2022-02-07 00:25:05.287 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-07 00:25:05.289 [main] INFO  com.linghang.wusthelper.wustlib.WustLibApplication - The following profiles are active: dev
2022-02-07 00:25:06.256 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8334 (http)
2022-02-07 00:25:06.257 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2022-02-07 00:25:06.257 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2022-02-07 00:25:06.258 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
